obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond
1;28;-88;43;2;5.08503401360544;1.7495556526892;1.7495556526892;41;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;70;143;-8;-4.91496598639456;0.832976728517224;0.832976728517224;151;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;57;104;10;13.0850340136054;1.4496031060844;1.4496031060844;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-86;4;4;7.08503401360544;1.38296580095403;1.38296580095403;0;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-43;30;-13;-9.91496598639456;1.34130854245632;1.34130854245632;43;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;72;155;4;7.08503401360544;1.65792894306924;1.65792894306924;151;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;84;74;7;10.0850340136054;1.21630627845843;1.21630627845843;67;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;83;150;-14;-10.9149659863946;1.44963661325255;1.44963661325255;164;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;7;147;-10;-6.91496598639456;1.49963142115075;1.49963142115075;157;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-28;20;15;18.0850340136054;1.47462058414749;1.47462058414749;5;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;23;156;-6;-2.91496598639456;1.69954816640302;1.69954816640302;162;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;62;112;12;15.0850340136054;2.21615957139784;2.21615957139784;100;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;31;70;1;4.08503401360544;1.34962465934359;1.34962465934359;69;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;71;178;0;3.08503401360544;0.958039667657431;0.958039667657431;178;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-75;70;-3;0.0850340136054424;1.37476771382126;1.37476771382126;73;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-9;76;-6;-2.91496598639456;1.71624892384671;1.71624892384671;82;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-78;149;-11;-7.91496598639456;1.18300045521437;1.18300045521437;160;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-38;29;11;14.0850340136054;1.78289498310187;1.78289498310187;18;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
