delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus;expnum
160;92.766345224195;99.5722420338687;6.80589680967363;1.15032747399891;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-80;172.766345224195;155.166292454464;-17.6000527697307;1.24240992100022;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-170;342.766345224195;336.38546681682;-6.38087840737518;1.03325543899882;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-170;152.766345224195;147.936555995641;-4.82978922855401;1.45897202600099;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
60;92.766345224195;99.6620441190501;6.89569889485507;1.88388478500019;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-150;242.766345224195;241.288197924258;-1.47814729993735;1.92512735199853;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-120;2.76634522419499;12.8293686599716;10.0630234357767;1.88567654500002;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-30;32.766345224195;26.0243403989547;-6.74200482524027;1.01833855899895;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
30;2.76634522419499;9.81169422233039;7.0453489981354;1.30318884100052;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-120;122.766345224195;133.816158676206;11.0498134520109;0.883204368999941;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-160;282.766345224195;295.00042601941;12.234080795215;1.12546731100156;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
20;262.766345224195;244.3620205264;-18.4043246977949;0.858043755000836;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
140;122.766345224195;126.770437046628;4.00409182243288;1.35034628699941;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-50;172.766345224195;167.11835838193;-5.64798684226488;0.974964875000296;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
170;2.76634522419499;357.137217726267;-5.62912749792821;1.01586933399994;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-180;182.766345224195;169.022529324265;-13.7438158999302;0.98301577500024;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-60;242.766345224195;221.83415733617;-20.9321878880248;1.51720927399947;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
130;112.766345224195;120.093378224177;7.32703299998236;1.05902417300058;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
100;12.766345224195;34.3639282674732;21.5975830432782;1.78381759200056;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
