obs;theta;resp;error;block;cond;rt;trials;delta;study;experiment;stimulus;expnum
2;199.435;184.882;-14.553;9;1;9;13;-156.34;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;332.711;324.411;-8.30000000000004;9;1;9;14;-133.276;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;149.3671;146.8251;-2.542;9;1;9;15;-176.6561;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;319.087;316.14;-2.947;9;1;9;16;-169.7199;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;110.9854;356.507;-114.4784;9;1;9;17;-151.8984;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;134.0301;359.489;-134.5411;9;1;9;18;-23.0447;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;274.985;272.068;-2.91700000000003;10;1;9;1;-140.9549;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;79.366;77.742;-1.624;10;1;9;2;-164.381;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;98.3546;2.38499999999999;-95.9696;10;1;9;3;-18.9886;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;121.2532;353.519;-127.7342;10;1;9;4;-22.8986;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;147.9368;152.4051;4.4683;10;1;9;5;-26.6836;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;238.829;241.433;2.60400000000004;10;1;9;6;-90.8922;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;242.68;249.562;6.88200000000001;10;1;9;7;-3.851;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;186.62;190.582;3.96199999999999;10;1;9;8;56.06;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;27.776;32.321;4.54499999999996;10;1;9;9;158.844;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;329.029;323.798;-5.231;10;1;9;10;58.747;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;352.283;352.182;-0.101000000000084;10;1;9;11;-23.254;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;107.531;358.622;-108.909;10;1;9;12;-115.248;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;317.948;316.081;-1.86699999999999;10;1;9;13;149.583;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;57.032;181.977;124.945;10;1;9;14;-99.084;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;293.413;283.558;-9.85500000000002;10;1;9;15;123.619;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;6.97999999999999;7.24199999999999;0.262;10;1;9;16;-73.567;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;216.392;220.476;4.08400000000003;10;1;9;17;150.588;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;178.88322;175.34655;-3.53666999999999;10;1;9;18;37.50878;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;278.482;273.993;-4.48900000000003;11;1;9;1;-99.59878;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;338.049;330.607;-7.44199999999998;11;1;9;2;-59.567;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;280.71;275.549;-5.161;11;1;9;3;57.339;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;16.501;26.83;10.329;11;1;9;4;-95.7910000000001;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;95.4158;94.7343;-0.681500000000028;11;1;9;5;-78.9148;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;313.515;304.985;-8.52999999999997;11;1;9;6;141.9008;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;78.308;84.4707;6.16269999999997;11;1;9;7;-124.793;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;35.638;42.321;6.68299999999999;11;1;9;8;42.67;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;208.263;208.776;0.513000000000062;11;1;9;9;-172.625;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;180.664;179.118753;-1.54524700000002;11;1;9;10;27.599;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;230.903;232.007;1.10399999999999;11;1;9;11;-50.2390000000001;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;253.501;253.086;-0.414999999999964;11;1;9;12;-22.5979999999999;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;351.124;345.914;-5.20999999999998;11;1;9;13;-97.623;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;120.1801;108.2858;-11.8943;11;1;9;14;-129.0561;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;119.4715;323.293;-156.1785;11;1;9;15;0.708600000000018;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;153.2106;145.0846;-8.12600000000001;11;1;9;16;-33.7391;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;168.1143;162.509;-5.6053;11;1;9;17;-14.9037;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;58.463;47.627;-10.836;11;1;9;18;109.6513;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;351.209;354.497;3.28799999999998;12;1;9;1;67.254;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;253.285;258.365;5.07999999999998;12;1;9;2;97.924;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;169.9584;171.68717;1.72877;12;1;9;3;83.3266;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;86.4433;87.711;1.26769999999999;12;1;9;4;83.5151;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;298.655;301.38;2.72500000000002;12;1;9;5;147.7883;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;152.0519;156.6099;4.55799999999999;12;1;9;6;146.6031;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;16.602;18.748;2.14599999999999;12;1;9;7;135.4499;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;47.278;46.763;-0.514999999999986;12;1;9;8;-30.676;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;71.338;51.267;-20.071;12;1;9;9;-24.06;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;230.813;237.182;6.36900000000003;12;1;9;10;-159.475;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;125.8055;121.3054;-4.5001;12;1;9;11;105.0075;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;100.5585;104.4906;3.93209999999999;12;1;9;12;25.247;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;213.663;206.267;-7.39600000000007;12;1;9;13;-113.1045;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;326.966;325.124;-1.84200000000004;12;1;9;14;-113.303;Chetverikov & Jehee (2023);Experiment 1;Motion;1
