obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;93;108;15;0.875231199897826;8;-89;215;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;117;121;4;1.12437560013495;8;-24;216;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;23;34;11;1.78228339995258;8;-86;217;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;27;24;-3;1.59974560001865;8;-4;218;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;52;24;-28;0.691824899986386;8;-25;219;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;75;81;6;1.12530800001696;8;-23;220;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;133;114;-19;1.340333199827;8;-58;221;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;29;21;-8;1.19183479994535;8;-76;222;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;36;38;2;1.1660450999625;8;-7;223;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;85;86;1;1.33169419993646;8;-49;224;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;179;172;-7;1.85005340003408;8;86;225;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;48;38;-10;1.02490349998698;8;-49;226;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;143;142;-1;1.49863189994358;8;85;227;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;157;154;-3;1.3419164000079;8;-14;228;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;169;149;-20;1.03324200003408;8;-12;229;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;46;34;-12;0.716598900035024;8;-57;230;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;43;39;-4;1.04897890007123;8;3;231;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;145;24;59;0.635873100021854;8;78;232;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;90;90;0;1.70817180001177;8;55;233;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;153;166;13;1.07532489998266;8;-63;234;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;44;28;-16;1.13380589988083;8;-71;235;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;3;174;-9;1.05820990004577;8;41;236;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;96;177;81;1.85733280004933;8;87;237;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;153;159;6;1.29194419994019;8;-57;238;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;167;162;-5;1.90821060002781;8;-14;239;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;72;70;-2;1.48307380010374;8;-85;240;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;163;162;-1;0.692688700044528;9;89;241;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;146;135;-11;1.157889300026;9;17;242;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;173;174;1;1.29976759990677;9;-27;243;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;74;39;-35;1.08242360013537;9;-81;244;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;78;82;4;1.05823269998655;9;-4;245;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;28;42;14;1.03273319988512;9;50;246;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;167;163;-4;0.568725500022992;9;41;247;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;7;7;0;1.69129520002753;9;-20;248;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;103;110;7;1.19916739990003;9;84;249;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;86;69;-17;0.932934799930081;9;17;250;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;85;77;-8;1.9914182999637;9;1;251;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;180;168;-12;1.13401939999312;9;85;252;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;154;146;-8;1.15872039995156;9;26;253;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;74;80;6;0.90710539999418;9;80;254;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;116;121;5;1.10740379989147;9;-42;255;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;103;106;3;1.16696569998749;9;13;256;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;128;126;-2;0.666587500134483;9;-25;257;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;156;151;-5;1.01606620009989;9;-28;258;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;118;114;-4;1.27418880001642;9;38;259;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;111;114;3;0.566533100092784;9;7;260;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;171;178;7;1.33311360003427;9;-60;261;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;149;150;1;1.31573530007154;9;22;262;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;90;88;-2;2.05019440012984;9;59;263;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;46;47;1;1.39892109995708;9;44;264;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;24;17;-7;0.758663600077853;9;22;265;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
