obs;block;trial;theta;delta;rt;resp;error;cond;study;experiment;stimulus;expnum
2;6;6;51;-50;4.28429665110161;34.7170116520515;-16.2829883479485;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;7;41;30;1.63427687166404;41.5590316179688;0.559031617968756;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;8;159;60;1.55094019044009;144.119786115147;-14.8802138848525;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;9;168;60;2.30095624565456;149.695449805973;-18.3045501940271;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;10;179;-70;2.06756386236611;9.3962742327578;10.3962742327578;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;11;160;-30;2.88435465514704;125.104754864555;-34.895245135445;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;12;14;60;2.46759559157545;20.7303081839316;6.73030818393156;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;13;89;0;2.30091812368391;95.8871629282847;6.88716292828467;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;14;50;80;2.50096521898013;23.7885784809851;-26.2114215190149;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;15;105;-10;2.20097345919021;97.6614783412018;-7.3385216587982;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;16;122;-80;3.33434376106106;108.770046073057;-13.229953926943;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;17;166;60;2.70098210994547;158.72831227369;-7.27168772630978;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;18;32;-30;2.66756966863522;157.071765146365;-54.9282348536345;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;19;151;30;2.90113946571182;131.93087200002;-19.0691279999796;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;20;107;-70;2.85093458944266;112.119073512083;5.11907351208265;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;21;9;80;1.4509474336146;11.956915166535;2.95691516653503;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;22;27;-40;1.66760427165445;19.3260809162459;-7.67391908375407;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;23;38;90;1.76751609260373;34.7541331504554;-3.2458668495446;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;24;53;-30;2.68428380693058;45.7448890203717;-7.25511097962829;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;25;154;-10;2.50092181858236;153.156846240433;-0.843153759567315;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;26;0;-10;2.16761790759119;162.654111634663;-17.3458883653374;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;27;129;-90;2.38425832385929;154.310607599202;25.3106075992018;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;28;42;-70;1.65090127670464;68.4742546447105;26.4742546447105;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;29;60;-30;1.95096752096106;71.5485768378837;11.5485768378837;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;30;71;-80;4.70094662718748;107.509822259364;36.5098222593642;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;31;85;-40;1.46758620770561;88.0192646838836;3.01926468388359;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;32;71;-30;4.78429474500354;87.3260631381184;16.3260631381184;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;33;37;90;3.43430191486641;40.5714168401815;3.57141684018153;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;34;130;20;2.15094335749563;115.330662780152;-14.6693372198481;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;35;15;0;3.43429165125872;15.6578898794265;0.657889879426506;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;6;36;32;-60;1.96756377439124;25.2221382750866;-6.77786172491344;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
2;7;1;33;0;1.36757380340259;39.709964750921;6.70996475092096;1;Fritsche & deLange (2019);Experiment 1;Orientation;1
