obs;theta;resp;error;rt;block;delta;study;experiment;stimulus;expnum
1;111;108;-3;1.48295211791992;2;19;Lau & Maus (2019);Experiment 1;Orientation;1
1;174;176;2;1.20297980308533;2;-63;Lau & Maus (2019);Experiment 1;Orientation;1
1;111;109;-2;0.942996025085449;2;63;Lau & Maus (2019);Experiment 1;Orientation;1
1;12;13;1;0.973034858703613;2;-81;Lau & Maus (2019);Experiment 1;Orientation;1
1;55;62;7;1.61287999153137;2;-43;Lau & Maus (2019);Experiment 1;Orientation;1
1;70;64;-6;1.8329930305481;2;-15;Lau & Maus (2019);Experiment 1;Orientation;1
1;112;109;-3;1.66295385360718;2;-42;Lau & Maus (2019);Experiment 1;Orientation;1
1;49;53;4;0.703325033187866;2;63;Lau & Maus (2019);Experiment 1;Orientation;1
1;165;167;2;1.35277700424194;2;64;Lau & Maus (2019);Experiment 1;Orientation;1
1;33;27;-6;0.723204135894775;2;-48;Lau & Maus (2019);Experiment 1;Orientation;1
1;23;8;-15;0.943249225616455;2;10;Lau & Maus (2019);Experiment 1;Orientation;1
1;104;106;2;1.31298398971558;2;-81;Lau & Maus (2019);Experiment 1;Orientation;1
1;166;157;-9;1.4729688167572;2;-62;Lau & Maus (2019);Experiment 1;Orientation;1
1;35;40;5;0.732887983322144;2;-49;Lau & Maus (2019);Experiment 1;Orientation;1
1;120;118;-2;1.23358297348022;2;-85;Lau & Maus (2019);Experiment 1;Orientation;1
1;115;115;0;1.42298793792725;2;5;Lau & Maus (2019);Experiment 1;Orientation;1
1;2;178;-4;1.23316407203674;2;-67;Lau & Maus (2019);Experiment 1;Orientation;1
1;37;17;-20;1.3931999206543;2;-35;Lau & Maus (2019);Experiment 1;Orientation;1
1;34;20;-14;1.63333010673523;2;3;Lau & Maus (2019);Experiment 1;Orientation;1
1;69;59;-10;1.93289995193481;2;-35;Lau & Maus (2019);Experiment 1;Orientation;1
1;65;59;-6;1.37297105789185;2;4;Lau & Maus (2019);Experiment 1;Orientation;1
1;158;170;12;1.582839012146;2;87;Lau & Maus (2019);Experiment 1;Orientation;1
1;48;46;-2;2.07408404350281;2;-70;Lau & Maus (2019);Experiment 1;Orientation;1
1;28;13;-15;1.7131040096283;2;20;Lau & Maus (2019);Experiment 1;Orientation;1
1;127;162;35;1.88309288024902;2;81;Lau & Maus (2019);Experiment 1;Orientation;1
1;124;116;-8;1.67302203178406;2;3;Lau & Maus (2019);Experiment 1;Orientation;1
1;26;11;-15;1.38299298286438;2;-82;Lau & Maus (2019);Experiment 1;Orientation;1
1;99;90;-9;1.34318208694458;2;-73;Lau & Maus (2019);Experiment 1;Orientation;1
1;9;7;-2;1.72322607040405;2;90;Lau & Maus (2019);Experiment 1;Orientation;1
1;143;161;18;1.4734320640564;2;46;Lau & Maus (2019);Experiment 1;Orientation;1
1;15;13;-2;1.45303010940552;2;-52;Lau & Maus (2019);Experiment 1;Orientation;1
1;20;13;-7;1.41341400146484;2;-5;Lau & Maus (2019);Experiment 1;Orientation;1
1;87;84;-3;0.873147964477539;2;-67;Lau & Maus (2019);Experiment 1;Orientation;1
1;117;101;-16;2.50303483009338;2;-30;Lau & Maus (2019);Experiment 1;Orientation;1
1;61;63;2;1.31280612945557;2;56;Lau & Maus (2019);Experiment 1;Orientation;1
1;68;55;-13;1.8330991268158;2;-7;Lau & Maus (2019);Experiment 1;Orientation;1
1;57;60;3;1.45291781425476;2;11;Lau & Maus (2019);Experiment 1;Orientation;1
1;108;110;2;1.54313993453979;2;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;99;99;0;1.63302803039551;2;9;Lau & Maus (2019);Experiment 1;Orientation;1
1;117;116;-1;1.13283014297485;2;-18;Lau & Maus (2019);Experiment 1;Orientation;1
1;114;104;-10;1.1130850315094;2;3;Lau & Maus (2019);Experiment 1;Orientation;1
1;41;39;-2;1.59324312210083;3;NaN;Lau & Maus (2019);Experiment 1;Orientation;1
1;88;107;19;1.10329580307007;3;-47;Lau & Maus (2019);Experiment 1;Orientation;1
1;113;107;-6;1.43336510658264;3;-25;Lau & Maus (2019);Experiment 1;Orientation;1
1;173;158;-15;1.20294380187988;3;-60;Lau & Maus (2019);Experiment 1;Orientation;1
1;72;68;-4;1.31331014633179;3;-79;Lau & Maus (2019);Experiment 1;Orientation;1
1;62;53;-9;0.96312689781189;3;10;Lau & Maus (2019);Experiment 1;Orientation;1
1;27;22;-5;1.2330641746521;3;35;Lau & Maus (2019);Experiment 1;Orientation;1
1;4;8;4;1.09294486045837;3;23;Lau & Maus (2019);Experiment 1;Orientation;1
1;122;117;-5;0.952903985977173;3;62;Lau & Maus (2019);Experiment 1;Orientation;1
1;58;57;-1;1.01298999786377;3;64;Lau & Maus (2019);Experiment 1;Orientation;1
1;90;93;3;1.64274907112122;3;-32;Lau & Maus (2019);Experiment 1;Orientation;1
1;60;66;6;0.993530988693237;3;30;Lau & Maus (2019);Experiment 1;Orientation;1
1;139;137;-2;1.44340801239014;3;-79;Lau & Maus (2019);Experiment 1;Orientation;1
1;160;165;5;1.02307105064392;3;-21;Lau & Maus (2019);Experiment 1;Orientation;1
1;94;90;-4;1.46310186386108;3;66;Lau & Maus (2019);Experiment 1;Orientation;1
1;28;15;-13;1.11278820037842;3;66;Lau & Maus (2019);Experiment 1;Orientation;1
1;31;19;-12;1.11309814453125;3;-3;Lau & Maus (2019);Experiment 1;Orientation;1
1;75;79;4;1.17284202575684;3;-44;Lau & Maus (2019);Experiment 1;Orientation;1
1;61;67;6;1.08312892913818;3;14;Lau & Maus (2019);Experiment 1;Orientation;1
1;112;102;-10;1.57276797294617;3;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;6;3;-3;1.2833890914917;3;-74;Lau & Maus (2019);Experiment 1;Orientation;1
1;82;78;-4;1.6231791973114;3;-76;Lau & Maus (2019);Experiment 1;Orientation;1
