obs;theta;resp;error;delta;block;rt;cond;study;experiment;stimulus;expnum
1;45;13.8571428571429;-31.1428571428571;-45;4;1.63332332622485;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;26;-19;0;4;1.83332406749287;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;147.857142857143;-2.14285714285714;75;4;3.7500737703449;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;42.4285714285714;-17.5714285714286;90;4;2.33334103110792;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;40.2857142857143;-4.71428571428572;15;4;2.80002805411277;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;32.5714285714286;-12.4285714285714;0;4;1.95003003557758;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;48.4285714285714;-11.5714285714286;-15;4;1.68330897130181;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;51.1428571428571;-8.85714285714286;0;4;1.7666453694892;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;133.857142857143;13.8571428571429;-60;4;6.30019783281932;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;110.571428571429;5.57142857142856;15;4;4.58344830102942;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;45;0;60;4;3.36671915408806;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;111;6;-60;4;2.7833600902286;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;176.142857142857;-3.85714285714286;-75;4;1.9166564742427;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;173;-7;0;4;2.4500036635709;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;35.4285714285714;-9.57142857142857;-45;4;1.966662361614;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;25;-5;15;4;1.53332552151733;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;102.571428571429;-2.42857142857144;-75;4;1.81664526970235;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;115;-20;-30;4;2.26668856256038;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;106.142857142857;1.14285714285714;30;4;2.61669271080609;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;179;-1;-75;4;2.23333210739293;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;54.8571428571429;-5.14285714285714;-60;4;1.5833028986126;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;101;-4;-45;4;3.39995215975432;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;155.142857142857;-9.85714285714286;-60;4;2.41666631028784;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;152.285714285714;-27.7142857142857;-15;4;3.01670417193782;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;20.5714285714286;-39.4285714285714;-60;4;2.38333779519235;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;142.857142857143;37.8571428571429;-45;4;6.55021729108375;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;50;-10;45;4;2.55001087667188;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;137.571428571429;2.57142857142856;-75;4;2.04998963651451;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;178;-2;-45;4;3.43339186493358;1;Cicchini et al. (2018);Experiment 2;Orientation;1
