trial,file,orientation,response,separations,error
41,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,43,49,0,-6
42,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,53,50,10,3
43,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-29,-34,-82,5
44,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-42,-37,-13,-5
45,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-88,-86,-46,-2
46,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,18,23,-74,-5
47,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,71,74,53,-3
48,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-31,-39,78,8
49,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-58,-60,-27,2
50,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,90,-82,-32,-8
51,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-77,-79,13,2
52,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,73,80,-30,-7
53,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,62,74,-11,-12
54,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-54,-54,64,0
55,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-88,-74,-34,-14
56,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-53,-61,35,8
57,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-32,-31,21,-1
58,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-1,-9,31,8
59,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,48,51,49,-3
60,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-6,-14,-54,8
61,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-69,-65,-63,-4
62,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,32,38,-79,-6
63,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,88,88,56,0
64,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-13,-21,79,8
65,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,80,82,-87,-2
