nStim;nBlock;nTrial;inducer;target;resp;rt;bar_start;t1;t2;ISI1;ISI2;block;delta_targ;delta_ind;obs;error;errorc;error_out_after;error_removed;block_start_index;rtc;outsubj
2;2;44;162;70;66;1.69881639978848;9;0.249978289240971;0.249974755570292;2.00811323174275;2.00810401560739;2;-70;-88;1;-4;-2.01818181818182;0;0;0;1.69881639978848;0
1;2;45;NaN;134;153;1.3406073001679;3;0.249980902532116;0;2.00811096071266;0;2;-64;NaN;1;19;20.9818181818182;0;0;0;1.3406073001679;0
2;2;46;138;53;48;1.21703249984421;121;0.249978863168508;0.249976400053129;2.00810431852005;2.0081066316925;2;81;85;1;-5;-3.01818181818182;0;0;0;1.21703249984421;0
1;2;47;NaN;40;34;0.94164859992452;178;0.249978863168508;0;2.00811101566069;0;2;13;NaN;1;-6;-4.01818181818182;0;0;0;0.94164859992452;0
2;2;48;157;162;157;1.7252368000336;120;0.249984757741913;0.249969142023474;2.00810398161411;2.00811278424226;2;58;-5;1;-5;-3.01818181818182;0;0;0;1.7252368000336;0
2;2;49;17;82;70;1.47410780005157;16;0.249967573443428;0.249980165855959;2.00811656587757;2.00810693949461;2;80;-65;1;-12;-10.0181818181818;0;0;0;1.47410780005157;0
2;2;50;114;153;164;1.96694519999437;40;0.24997483426705;0.24997733393684;2.00811272650026;2.00810813694261;2;-71;-39;1;11;12.9818181818182;0;0;0;1.96694519999437;0
2;2;51;94;11;21;1.77519519999623;65;0.249975689221174;0.2499755974859;2.00810962612741;2.00810690014623;2;-38;83;1;10;11.9818181818182;0;0;0;1.77519519999623;0
2;2;52;67;27;11;2.37419639993459;98;0.249979336978868;0.249964823713526;2.00810948153958;2.00811228924431;2;-16;40;1;-16;-14.0181818181818;0;0;0;2.37419639993459;0
2;2;53;169;45;28;1.35026099998504;153;0.249974005157128;0.24997735535726;2.00811417354271;2.00810438673943;2;-18;-56;1;-17;-15.0181818181818;0;0;0;1.35026099998504;0
2;2;54;112;51;27;1.2169683999382;24;0.249972378835082;0.249991702381521;1.99977018986829;2.00810941052623;2;-6;61;1;-24;-22.0181818181818;0;0;0;1.2169683999382;0
1;2;55;NaN;135;162;1.50709829991683;66;0.249968802556396;0;2.00810660258867;0;2;-84;NaN;1;27;NaN;0;1;0;NaN;0
1;2;56;NaN;63;41;2.08316669985652;146;0.249972778838128;0;2.00810745521449;0;2;72;NaN;1;-22;-20.0181818181818;0;0;0;2.08316669985652;0
1;2;57;NaN;154;168;1.98190649994649;79;0.249984304886311;0;2.00811685505323;0;2;89;NaN;1;14;15.9818181818182;0;0;0;1.98190649994649;0
1;2;58;NaN;153;155;1.47489009983838;126;0.249976805411279;0;2.0081117155496;0;2;1;NaN;1;2;3.98181818181818;0;0;0;1.47489009983838;0
1;2;59;NaN;104;95;1.57482440001331;138;0.249984505353495;0;2.0081079157535;0;2;49;NaN;1;-9;-7.01818181818182;0;0;0;1.57482440001331;0
2;2;60;162;155;166;1.8669302999042;40;0.249978094827384;0.249981668544933;2.00811494723894;2.0081030104775;2;-51;7;1;11;12.9818181818182;0;0;0;1.8669302999042;0
2;3;61;123;17;9;0.841889099916443;9;0.249981105094776;0.249972565798089;2.00810641306452;2.00811206316575;3;-42;-74;1;-8;NaN;0;0;1;0.841889099916443;0
2;3;62;25;26;32;1.62424469995312;157;0.249975544633344;0.249964942224324;2.00810908409767;2.0081107551232;3;-9;-1;1;6;7.98181818181818;0;0;0;1.62424469995312;0
1;3;63;NaN;118;126;1.24158830009401;139;0.249982657842338;0;2.00811107642949;0;3;88;NaN;1;8;9.98181818181818;0;0;0;1.24158830009401;0
1;3;64;NaN;177;177;1.40822869981639;119;0.249979763058946;0;2.00810834462754;0;3;-59;NaN;1;0;1.98181818181818;0;0;0;1.40822869981639;0
1;3;65;NaN;77;67;1.53311519999988;47;0.24997888924554;0;2.00811199750751;0;3;-80;NaN;1;-10;-8.01818181818182;0;0;0;1.53311519999988;0
